cell,leiden_final
242,Enterocyte (Bottom Villus)
243,Myenteric Plexus
244,Macrophage + DC
245,Paneth
246,B (Plasma)
247,Telocyte
248,Removed
249,Myenteric Plexus
250,Smooth Muscle
251,Myenteric Plexus
252,Stromal
253,Stem + TA
254,Goblet
255,B (Plasma)
256,Macrophage + DC
257,Stromal
258,Enterocyte (Bottom Villus)
259,T (CD4+)
260,Myenteric Plexus
261,Paneth
262,Paneth
263,Stromal
264,Paneth
265,Removed
266,Stromal
267,Macrophage + DC
268,Macrophage + DC
269,Removed
270,Myenteric Plexus
271,Smooth Muscle
272,Smooth Muscle
273,Endothelial
274,Paneth
275,Paneth
276,Removed
277,Paneth
278,Enterocyte (Bottom Villus)
279,Stem + TA
280,Paneth
281,Enterocyte (Mid Villus)
282,Removed
283,B (Plasma)
284,Stem + TA
285,Stem + TA
286,Stromal
287,Stromal
288,Stem + TA
289,Paneth
290,Macrophage + DC
291,Paneth
292,Removed
293,Paneth
294,Stem + TA
295,Smooth Muscle
296,Myenteric Plexus
297,Myenteric Plexus
298,Macrophage + DC
299,Myenteric Plexus
300,Stem + TA
301,Myenteric Plexus
302,Smooth Muscle
303,Removed
304,Smooth Muscle
305,Paneth
306,Enterocyte (Bottom Villus)
307,Removed
308,Myenteric Plexus
309,Enterocyte (Bottom Villus)
310,Paneth
311,Macrophage + DC
312,Endothelial
313,Macrophage + DC
314,Paneth
315,Paneth
316,T (CD4+)
317,Stem + TA
318,Removed
319,Goblet
320,Stem + TA
321,Smooth Muscle
322,Stromal
323,Goblet
324,Paneth
325,Paneth
326,Removed
327,Myenteric Plexus
328,Stromal
329,Removed
330,Stem + TA
331,Removed
332,Removed
333,Paneth
334,Endothelial
335,Endothelial
336,Stem + TA
337,Stromal
338,Telocyte
339,Myenteric Plexus
340,Smooth Muscle
341,Paneth
342,Smooth Muscle
343,Paneth
344,Paneth
345,Smooth Muscle
346,Removed
347,Removed
348,Smooth Muscle
349,Smooth Muscle
350,Telocyte
351,Enterocyte (Bottom Villus)
352,Smooth Muscle
353,Removed
354,Stem + TA
355,Stem + TA
356,Stem + TA
357,Goblet
358,Goblet
359,Paneth
360,Endothelial
361,Paneth
362,Paneth
363,Myenteric Plexus
364,Paneth
365,Stromal
366,Macrophage + DC
367,Goblet
368,Smooth Muscle
369,B (Plasma)
370,Enterocyte (Bottom Villus)
371,Smooth Muscle
372,ICC
373,Enterocyte (Bottom Villus)
374,Stromal
375,Paneth
376,Stem + TA
377,Removed
378,Stem + TA
379,Stromal
380,Stromal
381,Stem + TA
382,Macrophage + DC
383,Smooth Muscle
384,Smooth Muscle
385,Removed
386,Paneth
387,Stem + TA
388,Paneth
389,Smooth Muscle
390,B (Plasma)
391,B (Plasma)
392,ICC
393,Macrophage + DC
394,Smooth Muscle
395,Enterocyte (Bottom Villus)
396,Stem + TA
397,Stem + TA
398,Enterocyte (Bottom Villus)
399,Telocyte
400,Enterocyte (Mid Villus)
401,Stromal
402,Smooth Muscle
403,Smooth Muscle
404,B (Plasma)
405,Paneth
406,Paneth
407,Smooth Muscle
408,Enterocyte (Bottom Villus)
409,Stem + TA
410,Paneth
411,Telocyte
412,Smooth Muscle
413,Smooth Muscle
414,Paneth
415,Smooth Muscle
416,Smooth Muscle
417,Stem + TA
418,Enterocyte (Bottom Villus)
419,Stromal
420,Enterocyte (Bottom Villus)
421,Removed
422,Smooth Muscle
423,Smooth Muscle
424,Paneth
425,Stem + TA
426,Enterocyte (Bottom Villus)
427,Paneth
428,Enterocyte (Bottom Villus)
429,Stem + TA
430,Enterocyte (Bottom Villus)
431,Smooth Muscle
432,Paneth
433,Removed
434,Enterocyte (Bottom Villus)
435,Enterocyte (Bottom Villus)
436,Goblet
437,Stromal
438,Stromal
439,Smooth Muscle
440,Goblet
441,Goblet
442,Stem + TA
443,Removed
444,B (Plasma)
445,Telocyte
446,Smooth Muscle
447,Stem + TA
448,Smooth Muscle
449,Stem + TA
450,Smooth Muscle
451,Smooth Muscle
452,Smooth Muscle
453,T (CD4+)
454,Stromal
455,Stem + TA
456,Stem + TA
457,Enterocyte (Mid Villus)
458,Stem + TA
459,Enterocyte (Bottom Villus)
460,Enterocyte (Mid Villus)
461,Removed
462,Stromal
463,Removed
464,Smooth Muscle
465,Smooth Muscle
466,Smooth Muscle
467,Enterocyte (Mid Villus)
468,Removed
469,Stem + TA
470,Enterocyte (Bottom Villus)
471,Enterocyte (Bottom Villus)
472,Telocyte
473,Stem + TA
474,Stem + TA
475,Endothelial
476,Smooth Muscle
477,Enterocyte (Mid Villus)
478,T (CD4+)
479,Stromal
480,Goblet
481,ICC
482,Paneth
483,Stem + TA
484,Removed
485,Smooth Muscle
486,Paneth
487,Enterocyte (Mid Villus)
488,Smooth Muscle
489,Stem + TA
490,Stem + TA
491,Enterocyte (Mid Villus)
492,Stem + TA
493,Enterocyte (Bottom Villus)
494,Stem + TA
495,Stem + TA
496,Smooth Muscle
497,Enterocyte (Mid Villus)
498,Stem + TA
499,Telocyte
500,Goblet
501,Goblet
502,Paneth
503,B (Plasma)
504,Macrophage + DC
505,Paneth
506,Stem + TA
507,Endothelial
508,Stem + TA
509,Removed
510,Endothelial
511,Goblet
512,Stem + TA
513,Smooth Muscle
514,Stromal
515,Stromal
516,Paneth
517,Stem + TA
518,Removed
519,Smooth Muscle
520,Paneth
521,Paneth
522,Smooth Muscle
523,Stem + TA
524,Stem + TA
525,Stromal
526,Enterocyte (Mid Villus)
527,Smooth Muscle
528,Enterocyte (Bottom Villus)
529,Telocyte
530,Enterocyte (Bottom Villus)
531,Stem + TA
532,B (Plasma)
533,Stem + TA
534,Stem + TA
535,Smooth Muscle
536,Macrophage + DC
537,Goblet
538,Macrophage + DC
539,Goblet
540,Goblet
541,Removed
542,Removed
543,Stem + TA
544,Stem + TA
545,Removed
546,Macrophage + DC
547,Stem + TA
548,Goblet
549,Smooth Muscle
550,Smooth Muscle
551,Stem + TA
552,Enterocyte (Bottom Villus)
553,Enterocyte (Mid Villus)
554,Telocyte
555,Enterocyte (Mid Villus)
556,Smooth Muscle
557,Endothelial
558,Stem + TA
559,B (Plasma)
560,Stem + TA
561,Smooth Muscle
562,T (CD4+)
563,Macrophage + DC
564,Smooth Muscle
565,Stem + TA
566,Macrophage + DC
567,Removed
568,Enterocyte (Mid Villus)
569,Smooth Muscle
570,Stromal
571,Smooth Muscle
572,Telocyte
573,Enterocyte (Mid Villus)
574,B (Plasma)
575,Enterocyte (Mid Villus)
576,Enterocyte (Mid Villus)
577,Stromal
578,Smooth Muscle
579,Macrophage + DC
580,Macrophage + DC
581,Stem + TA
582,B (Plasma)
583,Enterocyte (Bottom Villus)
584,Smooth Muscle
585,Stromal
586,Stromal
587,Smooth Muscle
588,Smooth Muscle
589,Paneth
590,B (Plasma)
591,Stem + TA
592,Paneth
593,Smooth Muscle
594,Enterocyte (Bottom Villus)
595,Smooth Muscle
596,Stem + TA
597,Macrophage + DC
598,Paneth
599,Stem + TA
600,Goblet
601,Macrophage + DC
602,Stromal
603,Stromal
604,Smooth Muscle
605,Enterocyte (Mid Villus)
606,Smooth Muscle
607,Smooth Muscle
608,B (Plasma)
609,Endothelial
610,Smooth Muscle
611,ICC
612,Stromal
613,Stromal
614,Stem + TA
615,Paneth
616,Enterocyte (Mid Villus)
617,Goblet
618,Stromal
619,Enterocyte (Bottom Villus)
620,Macrophage + DC
621,Stem + TA
622,Stem + TA
623,Paneth
624,B (Plasma)
625,Smooth Muscle
626,Enterocyte (Mid Villus)
627,Removed
628,Enterocyte (Mid Villus)
629,Stromal
630,Stromal
631,Telocyte
632,Enterocyte (Bottom Villus)
633,Endothelial
634,Smooth Muscle
635,Stem + TA
636,B (Plasma)
637,Stem + TA
638,Smooth Muscle
639,Enterocyte (Mid Villus)
640,Enterocyte (Mid Villus)
641,Stromal
642,Endothelial
643,Enterocyte (Mid Villus)
644,Enterocyte (Mid Villus)
645,Stem + TA
646,Smooth Muscle
647,Stromal
648,Stromal
649,Paneth
650,Stromal
651,Paneth
652,Paneth
653,Enterocyte (Bottom Villus)
654,Smooth Muscle
655,Goblet
656,Stromal
657,Stem + TA
658,B (Plasma)
659,Macrophage + DC
660,Removed
661,Macrophage + DC
662,Stem + TA
663,Enterocyte (Mid Villus)
664,Paneth
665,Stromal
666,Smooth Muscle
667,Enterocyte (Mid Villus)
668,Smooth Muscle
669,Goblet
670,Macrophage + DC
671,Telocyte
672,Enterocyte (Mid Villus)
673,Endothelial
674,Telocyte
675,Stromal
676,Stem + TA
677,Smooth Muscle
678,Macrophage + DC
679,Goblet
680,Goblet
681,Tuft
682,Macrophage + DC
683,Smooth Muscle
684,Macrophage + DC
685,Removed
686,Goblet
687,B (Plasma)
688,Goblet
689,Macrophage + DC
690,Stromal
691,Enterocyte (Mid Villus)
692,Removed
693,Enterocyte (Bottom Villus)
694,Smooth Muscle
695,Goblet
696,Tuft
697,Telocyte
698,Stem + TA
699,Enterocyte (Mid Villus)
700,Paneth
701,Macrophage + DC
702,Stem + TA
703,Stem + TA
704,Removed
705,Enterocyte (Mid Villus)
706,Paneth
707,Stem + TA
708,Stromal
709,Smooth Muscle
710,B (Plasma)
711,Smooth Muscle
712,Stem + TA
713,T (CD4+)
714,Goblet
715,Enterocyte (Mid Villus)
716,Stem + TA
717,Enterocyte (Mid Villus)
718,Enterocyte (Mid Villus)
719,Stromal
720,Stromal
721,Removed
722,Stem + TA
723,Enterocyte (Mid Villus)
724,B (Plasma)
725,B (Plasma)
726,Goblet
727,B (Plasma)
728,Stem + TA
729,Telocyte
730,Stem + TA
731,Smooth Muscle
732,Telocyte
733,Enterocyte (Mid Villus)
734,Stem + TA
735,Macrophage + DC
736,Smooth Muscle
737,Removed
738,B (Plasma)
739,B (Plasma)
740,B (Plasma)
741,Stem + TA
742,Endothelial
743,Smooth Muscle
744,Enterocyte (Mid Villus)
745,Enterocyte (Mid Villus)
746,Stem + TA
747,Smooth Muscle
748,Smooth Muscle
749,Goblet
750,Stem + TA
751,Enterocyte (Mid Villus)
752,Macrophage + DC
753,Stromal
754,Enterocyte (Mid Villus)
755,Stromal
756,Enterocyte (Mid Villus)
757,Stromal
758,Smooth Muscle
759,Enterocyte (Bottom Villus)
760,T (CD4+)
761,Stem + TA
762,B (Plasma)
763,B (Plasma)
764,T (CD4+)
765,Stem + TA
766,T (CD4+)
767,Smooth Muscle
768,Enterocyte (Mid Villus)
769,Endothelial
770,Endothelial
771,B (Plasma)
772,Stem + TA
773,Enterocyte (Mid Villus)
774,Stromal
775,Stem + TA
776,Stromal
777,Smooth Muscle
778,Enterocyte (Mid Villus)
779,Enterocyte (Mid Villus)
780,Enterocyte (Mid Villus)
781,Enterocyte (Mid Villus)
782,Stromal
783,Stem + TA
784,Goblet
785,Stromal
786,Telocyte
787,Goblet
788,Telocyte
789,Enterocyte (Mid Villus)
790,Removed
791,Enterocyte (Mid Villus)
792,Removed
793,Enterocyte (Mid Villus)
794,Goblet
795,B (Plasma)
796,Smooth Muscle
797,Stem + TA
798,Stromal
799,Stem + TA
800,Endothelial
801,Macrophage + DC
802,Enterocyte (Mid Villus)
803,B (Plasma)
804,B (Plasma)
805,Smooth Muscle
806,Smooth Muscle
807,B (Plasma)
808,T (CD4+)
809,Smooth Muscle
810,Enterocyte (Mid Villus)
811,Goblet
812,ICC
813,Endothelial
814,Endothelial
815,B (Plasma)
816,Enterocyte (Bottom Villus)
817,Stem + TA
818,Smooth Muscle
819,Smooth Muscle
820,Endothelial
821,Stem + TA
822,Removed
823,Stromal
824,Smooth Muscle
825,Stromal
826,Removed
827,Smooth Muscle
828,Macrophage + DC
829,Smooth Muscle
830,Enterocyte (Mid Villus)
831,Endothelial
832,Smooth Muscle
833,Goblet
834,Smooth Muscle
835,Enterocyte (Mid Villus)
836,B (Plasma)
837,Stem + TA
838,Enterocyte (Mid Villus)
839,Stem + TA
840,B (Plasma)
841,Removed
842,Enterocyte (Bottom Villus)
843,B (Plasma)
844,Endothelial
845,Removed
846,T (CD4+)
847,Stem + TA
848,Removed
849,Smooth Muscle
850,Paneth
851,Stromal
852,Endothelial
853,Removed
854,Endothelial
855,Enterocyte (Mid Villus)
856,Smooth Muscle
857,Stem + TA
858,Telocyte
859,Enterocyte (Mid Villus)
860,Pericyte
861,Stromal
862,B (Plasma)
863,Stromal
864,Stromal
865,B (Plasma)
866,Macrophage + DC
867,Goblet
868,B (Plasma)
869,Smooth Muscle
870,B (Plasma)
871,Stem + TA
872,Smooth Muscle
873,B (Plasma)
874,ICC
875,Endothelial
876,Stromal
877,Enterocyte (Mid Villus)
878,Macrophage + DC
879,Removed
880,Smooth Muscle
881,Enterocyte (Mid Villus)
882,Stromal
883,Enterocyte (Mid Villus)
884,Macrophage + DC
885,Stromal
886,Endothelial
887,Macrophage + DC
888,Enterocyte (Bottom Villus)
889,Macrophage + DC
890,Enterocyte (Mid Villus)
891,B (Plasma)
892,Telocyte
893,Removed
894,Enterocyte (Mid Villus)
895,Enterocyte (Mid Villus)
896,Stem + TA
897,Smooth Muscle
898,Goblet
899,Stem + TA
900,Telocyte
901,T (CD4+)
902,Smooth Muscle
903,Endothelial
904,Enterocyte (Mid Villus)
905,B (Plasma)
906,Stem + TA
907,Smooth Muscle
908,Stem + TA
909,Stromal
910,Goblet
911,B (Plasma)
912,B (Plasma)
913,Stem + TA
914,Enterocyte (Mid Villus)
915,Smooth Muscle
916,T (CD4+)
917,Smooth Muscle
918,Enterocyte (Mid Villus)
919,Goblet
920,Endothelial
921,Endothelial
922,Stem + TA
923,Enterocyte (Bottom Villus)
924,Enterocyte (Mid Villus)
925,B (Plasma)
926,Macrophage + DC
927,Telocyte
928,Stem + TA
929,B (Plasma)
930,Macrophage + DC
931,Smooth Muscle
932,Smooth Muscle
933,Telocyte
934,Smooth Muscle
935,Smooth Muscle
936,Enterocyte (Bottom Villus)
937,Stromal
938,Removed
939,Enterocyte (Mid Villus)
940,Enterocyte (Mid Villus)
941,Enterocyte (Mid Villus)
942,Telocyte
943,Stromal
944,Stem + TA
945,Stromal
946,Endothelial
947,Smooth Muscle
948,Removed
949,B (Plasma)
950,Smooth Muscle
951,Enterocyte (Bottom Villus)
952,Enterocyte (Mid Villus)
953,Smooth Muscle
954,Stem + TA
955,T (CD8+)
956,B (Plasma)
957,Enterocyte (Bottom Villus)
958,Macrophage + DC
959,Enterocyte (Mid Villus)
960,Stem + TA
961,Enterocyte (Mid Villus)
962,Smooth Muscle
963,B (Plasma)
964,Removed
965,Endothelial
966,Stromal
967,B (Plasma)
968,Endothelial
969,Stromal
970,Smooth Muscle
971,Removed
972,Smooth Muscle
973,T (CD4+)
974,B (Plasma)
975,Removed
976,Smooth Muscle
977,Macrophage + DC
978,Telocyte
979,Macrophage + DC
980,B (Plasma)
981,Stromal
982,Smooth Muscle
983,Stem + TA
984,Telocyte
985,Stem + TA
986,Stromal
987,Enterocyte (Bottom Villus)
988,Stromal
989,Stem + TA
990,ICC
991,B (Plasma)
992,Enterocyte (Bottom Villus)
993,Enterocyte (Mid Villus)
994,Enterocyte (Mid Villus)
995,Smooth Muscle
996,Stromal
997,Stem + TA
998,Stromal
999,Enterocyte (Bottom Villus)
1000,T (CD4+)
1001,Smooth Muscle
1002,Removed
1003,Goblet
1004,Macrophage + DC
1005,Macrophage + DC
1006,B (Plasma)
1007,Removed
1008,Stem + TA
1009,Stromal
1010,Enterocyte (Mid Villus)
1011,Enterocyte (Bottom Villus)
1012,Enterocyte (Mid Villus)
1013,Enterocyte (Mid Villus)
1014,Smooth Muscle
1015,Smooth Muscle
1016,Stem + TA
1017,Stem + TA
1018,Smooth Muscle
1019,Endothelial
1020,Removed
1021,Stem + TA
1022,Enterocyte (Mid Villus)
1023,Removed
1024,T (CD4+)
1025,Smooth Muscle
1026,Smooth Muscle
1027,Endothelial
1028,Endothelial
1029,Enterocyte (Bottom Villus)
1030,T (CD4+)
1031,Endothelial
1032,Goblet
1033,Smooth Muscle
1034,Removed
1035,Enterocyte (Mid Villus)
1036,B (Plasma)
1037,Stromal
1038,Goblet
1039,Enterocyte (Mid Villus)
1040,Enterocyte (Mid Villus)
1041,Stromal
1042,Removed
1043,Smooth Muscle
1044,Endothelial
1045,Enterocyte (Mid Villus)
1046,Enterocyte (Mid Villus)
1047,T (CD4+)
1048,Stromal
1049,Enterocyte (Mid Villus)
1050,Macrophage + DC
1051,Goblet
1052,B (Plasma)
1053,Enterocyte (Mid Villus)
1054,Goblet
1055,Endothelial
1056,Enterocyte (Mid Villus)
1057,B (Plasma)
1058,Stem + TA
1059,Telocyte
1060,B (Plasma)
1061,Enterocyte (Bottom Villus)
1062,Smooth Muscle
1063,Stromal
1064,Stem + TA
1065,T (CD4+)
1066,B (Plasma)
1067,Removed
1068,B (Plasma)
1069,Smooth Muscle
1070,Enterocyte (Bottom Villus)
1071,Stem + TA
1072,Enterocyte (Mid Villus)
1073,B (Plasma)
1074,Stromal
1075,Enterocyte (Bottom Villus)
1076,T (CD4+)
1077,Endothelial
1078,Smooth Muscle
1079,Paneth
1080,Removed
1081,Removed
1082,Enterocyte (Mid Villus)
1083,Goblet
1084,Telocyte
1085,B (Plasma)
1086,Enterocyte (Mid Villus)
1087,Macrophage + DC
1088,Goblet
1089,Enterocyte (Mid Villus)
1090,Stromal
1091,Enterocyte (Mid Villus)
1092,Smooth Muscle
1093,Stem + TA
1094,Smooth Muscle
1095,Smooth Muscle
1096,Smooth Muscle
1097,Stem + TA
1098,Enterocyte (Mid Villus)
1099,Enterocyte (Bottom Villus)
1100,Stromal
1101,Myenteric Plexus
1102,Enterocyte (Mid Villus)
1103,Removed
1104,B (Plasma)
1105,Telocyte
1106,Enterocyte (Bottom Villus)
1107,Paneth
1108,Stem + TA
1109,Macrophage + DC
1110,Stem + TA
1111,Paneth
1112,Stromal
1113,Smooth Muscle
1114,Enterocyte (Mid Villus)
1115,Enterocyte (Mid Villus)
1116,Goblet
1117,Stem + TA
1118,Goblet
1119,Enterocyte (Mid Villus)
1120,Enterocyte (Mid Villus)
1121,T (CD4+)
1122,Paneth
1123,Removed
1124,Goblet
1125,Macrophage + DC
1126,Macrophage + DC
1127,Macrophage + DC
1128,Smooth Muscle
1129,Smooth Muscle
1130,Goblet
1131,Enterocyte (Mid Villus)
1132,B (Plasma)
1133,Telocyte
1134,Telocyte
1135,B (Plasma)
1136,Stem + TA
1137,Smooth Muscle
1138,Goblet
1139,Macrophage + DC
1140,Stem + TA
1141,Smooth Muscle
1142,ICC
1143,Paneth
1144,Stem + TA
1145,B (Plasma)
1146,Enterocyte (Mid Villus)
1147,Endothelial
1148,Removed
1149,Enterocyte (Mid Villus)
1150,Endothelial
1151,Stromal
1152,Smooth Muscle
1153,Smooth Muscle
1154,Enterocyte (Mid Villus)
1155,B (Plasma)
1156,Smooth Muscle
1157,Paneth
1158,Enterocyte (Mid Villus)
1159,Stem + TA
1160,Paneth
1161,Enterocyte (Mid Villus)
1162,Macrophage + DC
1163,Enterocyte (Mid Villus)
1164,Enterocyte (Bottom Villus)
1165,Endothelial
1166,Enterocyte (Mid Villus)
1167,Enterocyte (Bottom Villus)
1168,B (Plasma)
1169,B (Plasma)
1170,Enterocyte (Mid Villus)
1171,Paneth
1172,Macrophage + DC
1173,Enterocyte (Mid Villus)
1174,Smooth Muscle
1175,Stromal
1176,T (CD4+)
1177,Enterocyte (Mid Villus)
1178,Removed
1179,Enterocyte (Bottom Villus)
1180,Paneth
1181,Macrophage + DC
1182,Stem + TA
1183,Stromal
1184,Enterocyte (Bottom Villus)
1185,Macrophage + DC
1186,Macrophage + DC
1187,B (Plasma)
1188,Endothelial
1189,Enterocyte (Mid Villus)
1190,B (Plasma)
1191,Smooth Muscle
1192,Smooth Muscle
1193,Enterocyte (Mid Villus)
1194,Macrophage + DC
1195,Smooth Muscle
1196,B (Plasma)
1197,Enterocyte (Mid Villus)
1198,T (CD4+)
1199,B (Plasma)
1200,Smooth Muscle
1201,Goblet
1202,Stromal
1203,Macrophage + DC
1204,Enterocyte (Mid Villus)
1205,Removed
1206,Goblet
1207,Stem + TA
1208,Smooth Muscle
1209,Stem + TA
1210,Enterocyte (Mid Villus)
1211,ICC
1212,Enterocyte (Bottom Villus)
1213,Stromal
1214,Stromal
1215,Smooth Muscle
1216,Stromal
1217,ICC
1218,Macrophage + DC
1219,B (Plasma)
1220,Removed
1221,Enterocyte (Mid Villus)
1222,Enterocyte (Mid Villus)
1223,Smooth Muscle
1224,Smooth Muscle
1225,B (Plasma)
1226,Enterocyte (Bottom Villus)
1227,Smooth Muscle
1228,Endothelial
1229,Smooth Muscle
1230,Goblet
1231,Macrophage + DC
1232,Paneth
1233,Goblet
1234,Stem + TA
1235,Stromal
1236,Removed
1237,Goblet
1238,B (Plasma)
1239,Removed
1240,Enterocyte (Mid Villus)
1241,Removed
1242,Smooth Muscle
1243,B (Plasma)
1244,Smooth Muscle
1245,Enterocyte (Bottom Villus)
1246,Enterocyte (Mid Villus)
1247,Smooth Muscle
1248,Endothelial
1249,Stem + TA
1250,T (CD4+)
1251,Telocyte
1252,B (Plasma)
1253,Smooth Muscle
1254,Telocyte
1255,Stem + TA
1256,Smooth Muscle
1257,Telocyte
1258,Stem + TA
1259,Macrophage + DC
1260,Macrophage + DC
1261,B (Plasma)
1262,Goblet
1263,Removed
1264,B (Plasma)
1265,B (Plasma)
1266,Endothelial
1267,Macrophage + DC
1268,B (Plasma)
1269,B (Plasma)
1270,Stromal
1271,Endothelial
1272,Stem + TA
1273,Stem + TA
1274,Enterocyte (Mid Villus)
1275,Stem + TA
1276,Stromal
1277,Smooth Muscle
1278,B (Plasma)
1279,"B (Follicular, Circulating)"
1280,B (Plasma)
1281,Enterocyte (Mid Villus)
1282,Stem + TA
1283,Enterocyte (Bottom Villus)
1284,B (Plasma)
1285,Endothelial
1286,Paneth
1287,Goblet
1288,Macrophage + DC
1289,Telocyte
1290,Enterocyte (Mid Villus)
1291,Stromal
1292,B (Plasma)
1293,Macrophage + DC
1294,Enterocyte (Mid Villus)
1295,Enterocyte (Mid Villus)
1296,Enterocyte (Mid Villus)
1297,Removed
1298,Endothelial
1299,Endothelial
1300,Telocyte
1301,T (CD4+)
1302,Smooth Muscle
1303,Macrophage + DC
1304,B (Plasma)
1305,Smooth Muscle
1306,Stromal
1307,B (Plasma)
1308,Removed
1309,B (Plasma)
1310,Stromal
1311,Smooth Muscle
1312,Smooth Muscle
1313,Smooth Muscle
1314,Smooth Muscle
1315,Paneth
1316,Paneth
1317,Stromal
1318,Paneth
1319,Stromal
1320,T (CD4+)
1321,Endothelial
1322,Macrophage + DC
1323,B (Plasma)
1324,Removed
1325,Pericyte
1326,Smooth Muscle
1327,Smooth Muscle
1328,Goblet
1329,B (Plasma)
1330,Stem + TA
1331,Stromal
1332,Macrophage + DC
1333,B (Plasma)
1334,B (Plasma)
1335,Stem + TA
1336,Smooth Muscle
1337,Enterocyte (Mid Villus)
1338,Enterocyte (Mid Villus)
1339,Removed
1340,B (Plasma)
1341,Stromal
1342,Enterocyte (Mid Villus)
1343,Paneth
1344,Stem + TA
1345,Stem + TA
1346,B (Plasma)
1347,Stem + TA
1348,"B (Follicular, Circulating)"
1349,Enterocyte (Bottom Villus)
1350,B (Plasma)
1351,ICC
1352,Enterocyte (Mid Villus)
1353,Stromal
1354,Stromal
1355,Paneth
1356,Macrophage + DC
1357,Paneth
1358,T (CD8+)
1359,B (Plasma)
1360,Stromal
